Lexema: pprocedimento, Símbolo: sidentificador
Lexema: eescreva, Símbolo: sidentificador
Lexema: ), Símbolo: sfecha_parenteses
Lexema: , Símbolo: 
Lexema: , Símbolo: 
Lexema: , Símbolo: 
Lexema: , Símbolo: 
Lexema: ffim, Símbolo: sidentificador
Lexema: , Símbolo: 
Lexema: , Símbolo: 
Lexema: , Símbolo: 
Lexema: , Símbolo: 
Lexema: , Símbolo: 
Lexema: aagora, Símbolo: sidentificador
Lexema: oomeca, Símbolo: sidentificador
Lexema: , Símbolo: 
Lexema: cchamada, Símbolo: sidentificador
Lexema: oos, Símbolo: sidentificador
Lexema: rroce, Símbolo: sidentificador
Lexema: , Símbolo: 
Lexema: , Símbolo: 
Lexema: , Símbolo: 
Lexema: ddimentos, Símbolo: sidentificador
Lexema: , Símbolo: 
Lexema: , Símbolo: 
Lexema: , Símbolo: 
Lexema: , Símbolo: 
Lexema: , Símbolo: 
Lexema: , Símbolo: 
Lexema: , Símbolo: 
Lexema: , Símbolo: 
Lexema: ;, Símbolo: sponto_virgula
Lexema: , Símbolo: 
Lexema: , Símbolo: 
Lexema: , Símbolo: 
Lexema: , Símbolo: 
Lexema: pp4, Símbolo: sidentificador
Lexema: , Símbolo: 
Lexema: qque, Símbolo: sidentificador
Lexema: aai, Símbolo: sidentificador
Lexema: hhamar, Símbolo: sidentificador
Lexema: 11, Símbolo: snumero
Lexema: , Símbolo: 
Lexema: qque, Símbolo: sidentificador
Lexema: aai, Símbolo: sidentificador
Lexema: hhamar, Símbolo: sidentificador
Lexema: 22, Símbolo: snumero
Lexema: , Símbolo: 
Lexema: qque, Símbolo: sidentificador
Lexema: aai, Símbolo: sidentificador
Lexema: hhamar, Símbolo: sidentificador
Lexema: 33, Símbolo: snumero
Lexema: , Símbolo: 
Lexema: qque, Símbolo: sidentificador
Lexema: aai, Símbolo: sidentificador
Lexema: hhamar, Símbolo: sidentificador
Lexema: 11, Símbolo: snumero
Lexema: , Símbolo: 
Lexema: qque, Símbolo: sidentificador
Lexema: aai, Símbolo: sidentificador
Lexema: hhamar, Símbolo: sidentificador
Lexema: 22, Símbolo: snumero
Lexema: , Símbolo: 
Lexema: qque, Símbolo: sidentificador
Lexema: aai, Símbolo: sidentificador
Lexema: hhamar, Símbolo: sidentificador
Lexema: 33, Símbolo: snumero
Lexema: , Símbolo: 
Lexema: qque, Símbolo: sidentificador
Lexema: aai, Símbolo: sidentificador
Lexema: hhamar, Símbolo: sidentificador
Lexema: 11, Símbolo: snumero
Lexema: , Símbolo: 
Lexema: qque, Símbolo: sidentificador
Lexema: aai, Símbolo: sidentificador
Lexema: hhamar, Símbolo: sidentificador
Lexema: 22, Símbolo: snumero
Lexema: , Símbolo: 
Lexema: qque, Símbolo: sidentificador
Lexema: aai, Símbolo: sidentificador
Lexema: hhamar, Símbolo: sidentificador
Lexema: 33, Símbolo: snumero
Lexema: , Símbolo: 
Lexema: qque, Símbolo: sidentificador
Lexema: aai, Símbolo: sidentificador
Lexema: hhamar, Símbolo: sidentificador
Lexema: 11, Símbolo: snumero
Lexema: , Símbolo: 
Lexema: ffim, Símbolo: sidentificador
